name|average_rate|nb_of_reviews|address
Délices naan et Pizza|2,7|38|9 Rue Vicq d'Azir, 75010 Paris
Pizza Time® Châtelet|3,9|67|33 Rue Saint-Denis, 75001 Paris
Peppe Pizzeria|4,5|2362|2 Pl. Saint-Blaise, 75020 Paris
Dinapoli Pizza Paris 20.|4,6|124|1 B Rue de la Réunion, 75020 Paris
Pizzeria Paris 20 - Villa Cesar.|4,4|62|94 Rue des Pyrénées, 75020 Paris
Adelio Pizza.|4,7|160|43bis Rue des Pyrénées, 75020 Paris
Il Posto|4,4|1334|356 Rue des Pyrénées, 75020 Paris
La Toscana.|4,4|495|118 Av. Gambetta, 75020 Paris
Pizza Clip|4,4|269|13bis Av. du Père Lachaise, 75020 Paris
Five Pizza Original - Paris 20|4,0|204|110 Rue d'Avron, 75020 Paris
Five Pizza Original - Paris 20|4,0|204|110 Rue d'Avron, 75020 Paris
Five Pizza Original - Paris 20|4,0|204|110 Rue d'Avron, 75020 Paris
La Toscana.|4,4|495|118 Av. Gambetta, 75020 Paris
Domino's Pizza Paris 20 - Avron|2,8|242|71 Rue d'Avron, 75020 Paris
Il Posto|4,4|1334|356 Rue des Pyrénées, 75020 Paris
Pizza Clip|4,4|269|13bis Av. du Père Lachaise, 75020 Paris
Pizza Hut|3,4|196|7 Av. Gambetta, 75020 Paris
Il Villaggio|4,4|203|5 Rue Constant Berthaut, 75020 Paris
Pizza Hut|3,6|159|141 ter Av. Gambetta, 75020 Paris
Popine Ménilmontant|4,3|1270|108 Bd de Ménilmontant, 75020 Paris
il parigino|4,7|90|6 Rue Sorbier, 75020 Paris
Del Totorino|4,7|616|36 Rue de Bagnolet, 75020 Paris
Ristorante Prima|4,4|237|68 Av. Gambetta, 75020 Paris
MA PIZZA|4,4|16|34 Rue du Surmelin, 75020 Paris
Méli Mellow|4,8|233|55 bis Rue de Bagnolet, 75020 Paris
Il Pinocchio|4,3|410|115 Av. Gambetta, 75020 Paris
Popinette|4,1|88|7 Rue Etienne Dolet, 75020 Paris
L'atelier du Kebab|4,4|178|119 Rue Pelleport, 75020 Paris
Pizza Center Milano|4,4|276|36 Rue de l'Orillon, 75011 Paris
Chicken time|3,8|149|114 Bd Davout, 75020 Paris
Cappuccino Ristorante|4,3|67|33 Rue de Tlemcen, 75020 Paris
L'Escale De L'Auberge.|4,0|93|178 Rue de Bagnolet, 75020 Paris
Coups de Cœur|4,4|55|1 Rue du Retrait, 75020 Paris
PIZZA PARIS GOURMAND|2,7|9|11 Av. Gambetta, 75020 Paris
Mamagaya Pizza|4,1|72|74 Rue Jean-Pierre Timbaud, 75011 Paris
Le Lelek Café|4,4|132|2 Bd de Ménilmontant, 75020 Paris
Le53 Paris|3,8|32|53 Rue de Bagnolet, 75020 Paris
Pizza house Paris 11|4,7|101|4 Rue Des Trois Couronnes, 75011 Paris
Chicken Rapido|3,5|29|164 Bd Mortier, 75020 Paris
Pizzeria Palermo|5,0|3|35 Rue Pelleport, 75020 Paris
Pizza Mamma Paris|4,7|99|31 Rue Pétion, 75011 Paris
