name|address|comment|comment_rate
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|Personnel désagréable ! 1 heure pour préparer un cheese !!! A fuir !| 1 étoile 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|Moi et ma famille avons à peine touché nos assiettes avant qu’on se rende compte que la VIANDE DU KEBAB était AVARIÉE ET LES TENDERS MOISIS. C’est honteux de servir ça aux clients, et d’être désagréable en prime. À fuir| 1 étoile 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|"Commande via Deliveroo ce jour que nous avons dû nous faire rembourser car le poulet avait une odeur nauséabonde.
Vraiment très déçue et étonnée qu'un restaurant puisse servir des plats comme ça.
A fuir !"| 1 étoile 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|"J'ai commandé un Grec, et j'ai insisté qu'e la viande soit très bien cuite, mais malheureusement on me l'a servi crue !
Le pain : OK
Les frites :OK
Hygiène : en attendant ma commande, je me suis installé sur une table sale !
Temps d'attente : très long
Message au propriétaire : écoutez vos clients, et nettoyer les tables, et surtout ne touchez pas la nourriture avec les mains nues ! parce que c'est pas vous qui allez la manger."| 1 étoile 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|Une horreur!!!! Je vous déconseille vivement ce restaurant !!!!! J’ai fait une commande via Deliveroo pour une formule duo donc un poulet entier et deux accompagnement avec sauces forestier et au poivre, j’ai reçu l’équivalent de deux cuisses, deux barquettes de riz blanc sec collant et deux mini pots de sauce que l’on vous propose dans les grecs pour les frites. Rien de similaire à ce que l’on vous propose sur le site et quand vous appelez le restau on vous répond que c’est bien ça c’est tout! Donc à fuir!!!!!!!!| 1 étoile 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|Salut, je suis un client chez délice naan et pizza, ça fait un grand plaisir de manger chez vous, tout est bon, frais,propre, pizza 🍕magnifique,merci beaucoup continuez comme ça À bientôt| 5 étoiles 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|Merci,merci ,ça  nous fait plaisir aussi  que vous apprécié nous  pizza et très bien tôt| 1 étoile 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|"Service n'importe Quoi... Il m'ont mis un kébab très très salé j'arrive pas le manger
A fuir surtout surtout pas le pizza il rajouter de ingrédients microscopique rien à voi avec le menu"| 5 étoiles 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|très bon pizza et livraison  rapide| 4 étoiles 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|| 4 étoiles 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|Je ne comprends pas et ne valide pas du tout les avis négatifs, j'ai commandé et mangé sur place plusieurs fois, de la pizza aux hamburger ou kebab tout était parfait, l'accueil est  chaleureux,certes un petit coup de neuf serait le bienvenu dans le restaurant c'est pourquoi je retire une étoile.| 5 étoiles 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|Je ne comprends pas les avis plus bas car très honnêtement étant très dur avec les fast food de manière générale celui-ci propose des cheese naan absolument incroyables et extrêmement bons. Leurs naan sont faits avec de la pâte maison et c'est vraiment délicieux. Pour le reste de la carte je ne sais pas en tous cas leur naan sont sans doute meilleurs que la très grande majorité de tous les fast food qui en proposent. Je recommande vivement !| 2 étoiles 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|Les pizzas étaient bonnes mais les wings et frites avaient une texture de réchauffé.| 1 étoile 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|Restaurant dégeulasse et pas propre vendeur mal poli| 1 étoile 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|Le gars qui y travaille est horriblement désagréable, mais d'une rare méchanceté, aucun sens du service client, j'y suis allée plusieurs fois mais ayant marre de me prendre la mauvaise humeur de ce type je vais ailleurs désormais.| 5 étoiles 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|| 1 étoile 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|"A fuir
Hygiène douteuse
Les sauces sur le comptoir paraissent périmées
Les banquettes sont défoncées.
J'ai commandé une assiette kebab elle a été servie avec un riz sec à la place du blé ( comme affiché), pas de pain.
J'étais pressé et affamé heureusement sinon j'aurais fui en courant"| 1 étoile 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|Je vos confirme que Les sauce  ne son pas périmés et  les banquettes  une un peu déchirée  mai pas défoncés  comme vous le prétendais  et votre plat assiette kebab  si bien indiqué servie avec salade frites  riz ou blé  je vous renvoie le menu  si vous voulez alors arrêter de faire  des faux commentaire| 1 étoile 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|Horrible Kebab, rien n allait et j' ai été malade en prime. A eviter| 1 étoile 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|Je viens de Toulon et je viens rarement a Paris mais toujours avec de hautes esperances. J'ai commande un kebab qui m'a repugnee, la viande etait avariee. Presence de souris. Je ne recommande absolument pas, service desagreables, hygiene PLUS QUE DOUTEUSE. A EVITER ABSOLUMENT| 1 étoile 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|"Vraiment pas bon jamais plus je ne recommanderais de tacos, viande périmée qui sent mauvais et fromage de mauvaise augure.
Passez vôtre chemins !"| 1 étoile 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|Une escroqueries des plats livre 45 min en retard ! Avec les plats froid , et les boissons oublié en disant qu’il allais repasser et ne sont jamais revenu ! Je ne recomande absolument pas !| 5 étoiles 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|Si je pouvais mettre zero étoile je le ferais car cette boutique est une pur arnaque. J'ai fait la commande de plusieurs pizza sur le net et ce n'est jamais arriver et lorsque j'appel pour demander à me faire rembourser on me raccroche au nez et on ne me répond plus au tel.  A FUIR ABSOLUMENT.| 5 étoiles 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|Le restaurant était fermé le moi août en ne pouve pas vous livré et encore moi vous rembourser une commande que vous n’avez pas commandé| 5 étoiles 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|accueil chaleureux le tacos et très  bon le service  et rapide| 5 étoiles 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|J ai commandée c étais rapide délicieux les pizzas toppp .| 4 étoiles 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|"Le pain Cheese Nan est delicieux
Service rapide
Acceuil chaleureux"| 1 étoile 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|satisfait de repas je reviendrai| 5 étoiles 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|"(Traduit par Google) Service personnel de propriétaires avec restauration rapide, pizza et hébergement, convivialité.

(Avis d'origine)
Atendimento pessoal dos proprietários com fast food, pizza e acomodação e simpatia caseira."| 5 étoiles 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|Déplorable, pour passer une commande il. A fallut 15 15 minute.jattend tjs| 5 étoiles 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|La pizza et  bonne   les sandwich en pain cheese nan et top| 1 étoile 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|Sandwich en pain cheese nan tres bon pizza aussi| 5 étoiles 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|Bonne pizza| 4 étoiles 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|"Non professionnel et irrespectueux.
J'ai commandé pizza à livrer elle n'est jamais arrivée. J'ai appelé on m'a raccroché au nez."| 4 étoiles 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|| 1 étoile 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|Bonnes pizzas très bon marché, service rapide.| 1 étoile 
