|name|average_rate|nb_of_reviews|address|city|postal_code
0|Pizza Wawa|4.5|1535|35 Rue Saint-Honoré, 75001 Paris|Paris|75001
1|Pizzeria Iovine's|4.5|2591|7bis Rue du Colonel Driant, 75001 Paris|Paris|75001
2|Milo|4.6|579|44 Rue Saint-Honoré, 75001 Paris|Paris|75001
3|La Tavola Calda|4.5|513|39 Rue des Bourdonnais, 75001 Paris|Paris|75001
4|Liberto|4.7|1697|23 Rue Berger, 75001 Paris|Paris|75001
5|PIZZA e MOZZA|4.3|1048|1 Rue des Innocents, 75001 Paris|Paris|75001
6|COME PRIMA by OSKIAN|4.3|720|139 Rue Saint-Honoré, 75001 Paris|Paris|75001
7|Rarita Paris|4.6|405|100 Rue Saint-Honoré, 75001 Paris|Paris|75001
8|Pizza Nelly.|4.1|241|19 Rue Duphot, 75001 Paris|Paris|75001
9|Gambino|4.3|1142|6 Rue Gomboust, 75001 Paris|Paris|75001
10|Domenico|4.3|364|3 Rue des Pyramides 1er, 75001 Paris|Paris|75001
11|Uno|4.4|816|37 Rue Berger, 75001 Paris|Paris|75001
12|Valentino|4.5|295|26 Rue du Bouloi, 75001 Paris|Paris|75001
13|Bella Piazza|4.5|573|8 Rue de la Petite Truanderie, 75001 Paris|Paris|75001
14|Pizza Mimmo|4.2|449|14 Rue Saint-Denis, 75001 Paris|Paris|75001
15|Gemini Halles|4.1|616|16 Rue des Halles, 75001 Paris|Paris|75001
16|Magagna Pizza Corsica|4.9|47|30 Rue Coquillière, 75001 Paris|Paris|75001
17|Restaurant La Fontaine d'Italie|4.3|348|23 Rue Molière, 75001 Paris|Paris|75001
18|Casa Festa|4.5|1120|16 Rue Jean-Jacques Rousseau, 75001 Paris|Paris|75001
19|Enza & Famiglia pizzeria|4.4|351|19 Rue du Roule, 75001 Paris|Paris|75001
20|Pendino|4.3|659|6 Rue de l'Échelle, 75001 Paris|Paris|75001
21|Cinquecento|3.9|1433|38 Rue Saint-Denis, 75001 Paris|Paris|75001
22|Caffe dei Fratelli|4.2|656|10 Rue des Pyramides, 75001 Paris|Paris|75001
23|Pizza Time® Châtelet|3.9|66|33 Rue Saint-Denis, 75001 Paris|Paris|75001
24|Liberta|4.4|1042|32 Rue du Pont Neuf, 75001 Paris|Paris|75001
25|La Perla|4.3|3759|5 Rue Montorgueil, 75001 Paris|Paris|75001
26|Ristorante Fellini|4.3|150|47 Rue de l'Arbre Sec, 75001 Paris|Paris|75001
27|Tutti Amici|4.4|210|47 Rue Saint-Honoré, 75001 Paris|Paris|75001
28|Pizza chez Gino|4.0|133|22 Rue des Bourdonnais, 75001 Paris|Paris|75001
29|Presto Fresco|4.4|5016|14 Rue Montmartre, 75001 Paris|Paris|75001
30|Chez Alexandre|4.1|417|16 Rue du Louvre, 75001 Paris|Paris|75001
31|Il Fico|4.5|226|31 Rue Coquillière, 75001 Paris|Paris|75001
32|Restaurant Casanova - Cucina Italiana|4.1|158|6 Rue des Lavandières Sainte-Opportune, 75001 Paris|Paris|75001
33|5PIZZ Châtelet|3.7|125|49 Bd de Sébastopol, 75001 Paris|Paris|75001
34|Trattoria Bellusci|3.9|145|10 Rue du Marché Saint-Honoré, 75001 Paris|Paris|75001
35|Le Papacionu Paris|4.6|1649|7 Rue Cadet, 75009 Paris|Paris|75009
36|Pizza Rustica Montorgueil|2.8|4|36 Rue Montorgueil, 75001 Paris|Paris|75001
37|Enza & Famiglia trattoria|4.4|288|89 Rue Saint-Honoré, 75001 Paris|Paris|75001
38|Fuxia|3.4|1043|42 Pl. du Marché Saint-Honoré, 75001 Paris|Paris|75001
39|ACDS Restauration|2.5|2|35 Rue Saint-Honoré, 75001 Paris|Paris|75001
40|La Corte|4.5|196|320 Rue Saint-Honoré, 75001 Paris|Paris|75001
41|Capri Saint-Honoré|4.1|658|42 Pl. du Marché Saint-Honoré, 75001 Paris|Paris|75001
42|Dalmata Pizza|4.5|2384|8 Rue Tiquetonne, 75002 Paris|Paris|75002
43|IT - Italian Trattoria Rambuteau|4.1|3707|74 Rue Rambuteau, 75001 Paris|Paris|75001
44|Enza Famiglia 196 ST-HONORE|4.2|258|196 Rue Saint-Honoré, 75001 Paris|Paris|75001
45|Pizza Rossi|4.4|783|24 Rue Blondel, 75002 Paris|Paris|75002
46|IL TIMO, Pasta Etcaetera.....|4.3|392|77 Rue Saint-Honoré, 75001 Paris|Paris|75001
47|Damigiana|4.5|356|58 Rue Jean-Jacques Rousseau, 75001 Paris|Paris|75001
48|Pizza Democrazia|5.0|1|13 Rue Montorgueil, 75001 Paris|Paris|75001
49|Les Artisans de la Pizza - Pizzeria Paris 2|4.6|25|25 Rue Saint-Marc, 75002 Paris|Paris|75002
50|Papelli|4.6|794|74 Rue du Faubourg Saint-Denis, 75010 Paris|Paris|75010
51|Pizzeria Popolare|4.5|12493|111 Rue Réaumur, 75002 Paris|Paris|75002
52|Crudus|3.9|32|21 Rue Saint-Roch, 75001 Paris|Paris|75001
53|Adaggio|4.5|649|207 Rue La Fayette, 75010 Paris|Paris|75010
54|Peppe Pizzeria|4.5|2351|2 Pl. Saint-Blaise, 75020 Paris|Paris|75020
55|Loulou Restaurant Paris|4.2|1940|107 Rue de Rivoli, 75001 Paris|Paris|75001
56|Pastavino|3.6|246|101 Rue Berger, 75001 Paris|Paris|75001
57|Le Mille Pâtes|4.7|62|5 Rue des Petits Champs, 75001 Paris|Paris|75001
58|Le Bon Frère|4.8|6|16 Rue Jean-Jacques Rousseau, 75001 Paris|Paris|75001
59|Amarinno|4.5|91|2 Rue de Provence, 75009 Paris|Paris|75009
60|O'scià Pizzeria Napoletana|4.2|1468|42 Rue Tiquetonne, 75002 Paris|Paris|75002
61|La Trattoria Della Pasta|3.3|4|14 Rue Jean-Jacques Rousseau, 75001 Paris|Paris|75001
62|PATAPIZZA|4.8|52|20 Rue Eugène Varlin, 75010 Paris|Paris|75010
63|In bocca al lupo|4.6|613|14 Rue Francœur, 75018 Paris|Paris|75018
64|Pizza Chic|4.1|537|13 Rue de Mézières, 75006 Paris|Paris|75006
65|Pizza Rustica|3.8|517|24 Rue Saint-André des Arts, 75006 Paris|Paris|75006
66|L'Assaggio|4.4|97|37 Rue Cambon, 75001 Paris|Paris|75001
67|Senso Pizza|4.7|115|49 Rue Olivier de Serres, 75015 Paris|Paris|75015
68|BRAVA PIZZA|4.6|243|38 Rue du Cardinal Lemoine, 75005 Paris|Paris|75005
69|5PIZZ.com Pizza a 5 Euro a Domicile Pizza Paris 18|4.2|482|30 Rue Marx Dormoy, 75018 Paris|Paris|75018
70|Papelli|4.6|546|61 Rue du Faubourg Saint-Martin, 75010 Paris|Paris|75010
71|PIZZA NAPOLITANA|4.8|13|27 Rue Pierre Fontaine, 75009 Paris|Paris|75009
72|Marmaris|3.2|164|17 Rue Saint-Denis, 75001 Paris|Paris|75001
73|Marzo|4.3|542|5 Rue Paul-Louis Courier, 75007 Paris|Paris|75007
74|Pépé Ronchon|4.8|411|31 Rue Saint-Lazare, 75009 Paris|Paris|75009
75|Matteo Pizza Paris 9 Grands Boulevards|4.7|290|18 Rue du Faubourg Montmartre, 75009 Paris|Paris|75009
76|Domicile Pizza|4.3|209|12 Rue Adolphe Mille, 75019 Paris|Paris|75019
77|Pizzeria Iovine’s|4.9|65|8 Rue Boudreau, 75009 Paris|Paris|75009
78|Le TUB|4.0|339|26 Rue de Beaujolais, 75001 Paris|Paris|75001
79|Le Cosy|3.4|808|26 Rue du Mont Thabor, 75001 Paris|Paris|75001
80|Pizzeria Rebellato|4.1|269|138 Rue de la Pompe, 75016 Paris|Paris|75016
81|Pizza Piano|4.6|231|115rue Saint Martin, 75004 Paris|Paris|75004
82|Luisa Maria|4.4|594|12 Rue Monsieur le Prince, 75006 Paris|Paris|75006
83|La Massara|4.5|1853|70 R. de Turbigo, 75003 Paris|Paris|75003
84|Maria Luisa Pizzeria|4.1|693|2 Rue Marie et Louise, 75010 Paris|Paris|75010
85|Come Prima 20e|4.6|152|76 Rue Alexandre Dumas, 75020 Paris|Paris|75020
86|Popine Sacré Cœur|4.3|1102|10 Rue Dancourt, 75018 Paris|Paris|75018
87|Ciore cuisine napolitaine et epicerie|4.7|206|6 Rue Malher, 75004 Paris|Paris|75004
88|pizza404|4.5|121|4 Rue Poissonnière, 75002 Paris|Paris|75002
89|La Vittoria|4.8|268|173 Rue du Temple, 75003 Paris|Paris|75003
90|CHEZ MILO|4.1|486|16 Rue Maublanc, 75015 Paris|Paris|75015
91|PALLA PIZZA|5.0|2|10 R. des Petites Écuries, 75010 Paris|Paris|75010
92|Le Musset|4.0|1894|169 Rue Saint-Honoré, 75001 Paris|Paris|75001
93|Le Généreux|4.1|374|119 Rue Saint-Denis, 75001 Paris|Paris|75001
94|Pizza Sant'Antonio|4.0|1531|1 Rue de la Verrerie, 75004 Paris|Paris|75004
95|The Hills Pizza|4.7|24|Rue Chénier 6, 75002 Paris|Paris|75002
96|Five Pizza Original - Paris 2 - Réaumur|4.0|358|162 Rue Saint-Denis, 75002 Paris|Paris|75002
97|Pizzeria Iovine's.|4.5|469|27 Rue de Bretagne, 75003 Paris|Paris|75003
98|PizzaPresto Paris|3.6|270|42 Rue de Rivoli, 04 75004 Paris|Paris|75004
99|La Factory Burger Paris|4.5|420|20 Rue des Halles, 75001 Paris|Paris|75001
100|Babalou|4.4|896|4 Rue Lamarck, 75018 Paris|Paris|75018
101|La Cerise sur la Pizza - Rue de Bretagne|4.6|237|14 Rue Froissart, 75003 Paris|Paris|75003
102|Pizza Omilgout|4.9|109|3 Rue de Budapest, 75009 Paris|Paris|75009
103|Café Saint Honoré|4.1|766|194 Rue Saint-Honoré, 75001 Paris|Paris|75001
104|Louie Louie|4.5|1090|78 Rue de Charonne, 75011 Paris|Paris|75011
105|Fluctuat|4.3|124|74 Quai des Orfèvres, 75001 Paris|Paris|75001
106|Racina|4.5|392|43 Rue Descartes, 75005 Paris|Paris|75005
107|Pizzeria Renato|4.3|369|41 Bd du Temple, 75003 Paris|Paris|75003
108|Restaurant Capri|4.4|497|49 Rue Richer, 75009 Paris|Paris|75009
109|PRESTO & CO|4.6|103|39 Rue de Provence, 75009 Paris|Paris|75009
110|Pizza Pino|3.6|1432|27 Bd des Italiens, 75002 Paris|Paris|75002
111|Ademi Montmartre|4.5|611|156 Rue Montmartre, 75002 Paris|Paris|75002
